Species,Drug,Year,AgeBucket,n,pct_above_ecoff,pct_above_bp
Klebsiella pneumoniae,Meropenem,2007,Adult,883,14.382785956964893,3.62400906002265
Klebsiella pneumoniae,Meropenem,2007,Elderly (61+),1142,13.39754816112084,3.5901926444833627
Klebsiella pneumoniae,Meropenem,2007,Pediatric (0-17),260,12.692307692307692,1.5384615384615385
Klebsiella pneumoniae,Meropenem,2008,Adult,1277,11.902897415818325,4.22866092404072
Klebsiella pneumoniae,Meropenem,2008,Elderly (61+),1454,11.623108665749657,4.126547455295736
Klebsiella pneumoniae,Meropenem,2008,Pediatric (0-17),420,9.285714285714286,4.523809523809524
Klebsiella pneumoniae,Meropenem,2009,Adult,1480,13.175675675675675,6.554054054054054
Klebsiella pneumoniae,Meropenem,2009,Elderly (61+),1703,10.510863182618907,4.815032295948327
Klebsiella pneumoniae,Meropenem,2009,Pediatric (0-17),378,9.25925925925926,6.084656084656085
Klebsiella pneumoniae,Meropenem,2010,Adult,1121,15.254237288135593,5.887600356824264
Klebsiella pneumoniae,Meropenem,2010,Elderly (61+),1429,13.785864240727781,6.15815255423373
Klebsiella pneumoniae,Meropenem,2010,Pediatric (0-17),257,8.560311284046692,3.11284046692607
Klebsiella pneumoniae,Meropenem,2011,Adult,621,15.619967793880837,10.305958132045088
Klebsiella pneumoniae,Meropenem,2011,Elderly (61+),832,10.697115384615385,6.25
Klebsiella pneumoniae,Meropenem,2011,Pediatric (0-17),119,3.361344537815126,1.680672268907563
Klebsiella pneumoniae,Meropenem,2012,Adult,1443,12.127512127512128,7.484407484407485
Klebsiella pneumoniae,Meropenem,2012,Elderly (61+),1897,13.811280969952557,8.645229309435951
Klebsiella pneumoniae,Meropenem,2012,Pediatric (0-17),237,10.126582278481013,5.485232067510548
Klebsiella pneumoniae,Meropenem,2013,Adult,1942,15.44799176107106,9.268795056642636
Klebsiella pneumoniae,Meropenem,2013,Elderly (61+),2787,12.450663796196627,6.458557588805167
Klebsiella pneumoniae,Meropenem,2013,Pediatric (0-17),410,9.512195121951219,5.121951219512195
Klebsiella pneumoniae,Meropenem,2014,Adult,2250,16.044444444444444,10.177777777777777
Klebsiella pneumoniae,Meropenem,2014,Elderly (61+),3463,13.196650303205313,8.2009818076812
Klebsiella pneumoniae,Meropenem,2014,Pediatric (0-17),479,8.1419624217119,5.427974947807933
Klebsiella pneumoniae,Meropenem,2015,Adult,2199,15.82537517053206,11.277853569804456
Klebsiella pneumoniae,Meropenem,2015,Elderly (61+),3211,13.578324509498598,8.906882591093117
Klebsiella pneumoniae,Meropenem,2015,Pediatric (0-17),505,9.306930693069306,5.148514851485149
Klebsiella pneumoniae,Meropenem,2016,Adult,2463,17.70198944376776,10.881039382866422
Klebsiella pneumoniae,Meropenem,2016,Elderly (61+),3520,15.539772727272727,9.772727272727273
Klebsiella pneumoniae,Meropenem,2016,Pediatric (0-17),572,9.44055944055944,6.293706293706293
Klebsiella pneumoniae,Meropenem,2017,Adult,2180,17.98165137614679,12.889908256880734
Klebsiella pneumoniae,Meropenem,2017,Elderly (61+),3459,16.276380456779417,9.829430471234462
Klebsiella pneumoniae,Meropenem,2017,Pediatric (0-17),488,9.426229508196721,3.8934426229508197
Klebsiella pneumoniae,Meropenem,2018,Adult,1643,22.702373706634205,17.83323189287888
Klebsiella pneumoniae,Meropenem,2018,Elderly (61+),2248,18.95017793594306,14.012455516014235
Klebsiella pneumoniae,Meropenem,2018,Pediatric (0-17),369,14.092140921409214,9.75609756097561
