b0,b0_se,b1,b1_se,sigma,log_sigma_se,n,loglik,country,yrs,yr_min,yr_max,Species,Drug,year_ref
-4.275115016706354,0.14799403741688247,0.41446140890403665,0.029315464161498342,5.4223715311754574,0.02740376190769751,1921,-3403.3227408016096,Argentina,18,2007,2024,Klebsiella pneumoniae,Meropenem,2015
-5.185664501603469,0.00494404216367799,-0.027088932315121553,0.004961649676959339,1.0067947495207366,0.006040635120291449,1526,-3434.8009698212018,Australia,17,2007,2024,Klebsiella pneumoniae,Meropenem,2015
-4.865837995806506,0.10969380976320368,0.1801139040486503,0.03801670544011646,1.9429930891656129,0.04166141864132304,440,-680.0521045704847,Austria,10,2008,2024,Klebsiella pneumoniae,Meropenem,2015
-5.590885154790447,0.07594520061947647,-0.0494718974881924,0.016793657126443855,2.6223476522898896,0.024110299638073585,2526,-2996.256678535211,Belgium,18,2007,2024,Klebsiella pneumoniae,Meropenem,2015
-3.0750200819095905,0.24231135446194393,0.2954183455880635,0.04768762505687841,8.250213889743586,0.029063627692969433,2252,-4169.056105485099,Brazil,17,2007,2024,Klebsiella pneumoniae,Meropenem,2015
-3.9210569277639413,0.6472713380487679,1.250065705381237,0.136862432130335,7.449711958808731,0.11335258305028986,326,-323.49309194996795,Bulgaria,7,2008,2024,Klebsiella pneumoniae,Meropenem,2015
-24.228739768097626,7.1628983641388695,1.4143773028101678,0.8663803356194818,8.379781335312373,0.23038340489609935,180,-91.3279141467324,Cameroon,5,2020,2024,Klebsiella pneumoniae,Meropenem,2015
-10.001508712024043,0.4693861669859856,-0.06983666419948825,0.033370903534274785,4.1575945634915,0.06887544398410149,2223,-838.9619052998708,Canada,18,2007,2024,Klebsiella pneumoniae,Meropenem,2015
-3.8524097700553406,0.09415854510150065,0.07043243869698831,0.01997663754681078,3.1100376195790456,0.02499133075212216,1439,-2732.942079936708,Chile,16,2007,2024,Klebsiella pneumoniae,Meropenem,2015
-5.920609080495494,0.21123204591630568,-0.3854379275585198,0.04200015147455613,8.729189321858392,0.02529781125222401,4458,-6260.62417532405,China,16,2008,2024,Klebsiella pneumoniae,Meropenem,2015
-5.842167605698848,0.21296809941262998,0.0026152023230600406,0.037106035214492315,6.848320427560058,0.03239556408460816,1965,-3066.727635044853,Colombia,18,2007,2024,Klebsiella pneumoniae,Meropenem,2015
-21.150035747850367,7.416954169473276,0.036655488850785886,0.9207613271857146,15.106147270696507,0.2367362838991547,182,-117.66419424718337,Costa Rica,7,2018,2024,Klebsiella pneumoniae,Meropenem,2015
-8.775268184572063,0.49338027594240663,0.6936582753342372,0.06763386856297958,8.355014686200008,0.05192661027225999,1133,-1514.9438412672298,Croatia,16,2007,2024,Klebsiella pneumoniae,Meropenem,2015
-4.9718115234128355,0.009137815418904672,-0.08544829383723124,0.011334934587332273,1.3356616873157907,0.013142474693363515,1587,-1568.2666451856894,Czech Republic,18,2007,2024,Klebsiella pneumoniae,Meropenem,2015
-5.070711444244999,0.011933854374992002,-0.003942121076635625,0.011933852031932089,0.731609548296823,7.82038723060481e-06,713,-468.2972574940858,Denmark,18,2007,2024,Klebsiella pneumoniae,Meropenem,2015
-21.998225720980344,7.817105892534852,0.4820537208696539,0.7724489622949167,8.561440699935988,0.33868594532136265,200,-49.188313823077344,Dominican Republic,7,2018,2024,Klebsiella pneumoniae,Meropenem,2015
-7.777217076258534,0.8999249793823743,-0.15895469041100416,0.06940230565491942,2.3246554873736316,0.20943856319363924,241,-80.65482558878804,Finland,14,2007,2024,Klebsiella pneumoniae,Meropenem,2015
