Species,Drug,Year,countries,n_total,n_above_ecoff,n_above_bp,pct_above_ecoff,pct_above_bp,pct_above_ecoff_lo,pct_above_ecoff_hi,pct_above_bp_lo,pct_above_bp_hi
Acinetobacter baumannii,Meropenem,2007,34,1456,675,603,46.35989010989011,41.41483516483517,43.811387625173104,48.92754992455027,38.91054763408812,43.964305077523605
Acinetobacter baumannii,Meropenem,2008,40,1976,1000,915,50.607287449392715,46.30566801619433,48.40383735378391,52.80838092223379,44.11641048509411,48.50926166913154
Acinetobacter baumannii,Meropenem,2009,41,2320,1200,1096,51.724137931034484,47.241379310344826,49.68960026699013,53.75297537414671,45.216136252023105,49.275742722157965
Acinetobacter baumannii,Meropenem,2010,38,1824,1004,940,55.04385964912281,51.53508771929825,52.752746722690134,57.31377185374674,49.24075920270506,53.82296384229747
Acinetobacter baumannii,Meropenem,2011,23,1080,527,502,48.7962962962963,46.48148148148148,45.82472122429538,51.77640394134556,43.524604404924226,49.463299925410766
Acinetobacter baumannii,Meropenem,2012,32,1223,853,820,69.74652493867539,67.04824202780048,67.11353922814092,72.25585088558132,64.36413088658834,69.62559101283642
Acinetobacter baumannii,Meropenem,2013,37,1511,1043,1005,69.02713434811383,66.51224354731966,66.64994356105915,71.30782400939263,64.0933893877704,68.84735151249993
Acinetobacter baumannii,Meropenem,2014,37,1884,1321,1290,70.11677282377919,68.47133757961784,68.01057538334817,72.14110136145175,66.33750491151228,70.52999774598209
Acinetobacter baumannii,Meropenem,2015,38,1611,1139,1112,70.7014276846679,69.02545003103663,68.43180217418,72.87256218658544,66.72451028453284,71.23587255377186
Acinetobacter baumannii,Meropenem,2016,37,1515,1053,1028,69.5049504950495,67.85478547854785,67.13975496617273,71.77148205384398,65.46042419171951,70.15883000088463
Acinetobacter baumannii,Meropenem,2017,30,764,481,471,62.95811518324607,61.64921465968586,59.476932218393785,66.30964100260715,58.151194851266716,65.03067400397656
Acinetobacter baumannii,Meropenem,2018,44,1732,1260,1249,72.74826789838338,72.11316397228637,70.60271887122447,74.79313199958926,69.95406024779615,74.17439377129436
Acinetobacter baumannii,Meropenem,2019,46,3334,2455,2419,73.63527294541092,72.55548890221955,72.11306971136783,75.10307339918069,71.01547412172194,74.04358630864924
Acinetobacter baumannii,Meropenem,2020,45,2987,2176,2162,72.84901238701038,72.38031469702042,71.22551323378192,74.41381666029503,70.74891124106556,73.95422727056877
Acinetobacter baumannii,Meropenem,2021,46,3229,2403,2378,74.4193248683803,73.64509135955404,72.88600451697388,75.8946121661366,72.09808195633619,75.13590769179933
Acinetobacter baumannii,Meropenem,2022,46,2904,2022,2002,69.62809917355372,68.93939393939394,67.93052723461412,71.27381097102996,67.23228275648877,70.59646463492221
Acinetobacter baumannii,Meropenem,2023,43,1831,1315,1310,71.8186783178591,71.54560349535772,69.714004192515,73.83199244708244,69.43550201457712,73.56548840925562
Acinetobacter baumannii,Meropenem,2024,40,1463,1059,1053,72.38550922761449,71.97539302802461,70.03816096465498,74.61560826590689,69.61876079032423,74.21692411845635
Enterobacter cloacae,Meropenem,2007,34,2031,372,42,18.31610044313146,2.06794682422452,16.694238240277194,20.05759102774404,1.533526502239253,2.7833434160492816
Enterobacter cloacae,Meropenem,2008,41,2798,520,100,18.58470335954253,3.5739814152966405,17.186817517761995,20.068732953678715,2.9473086292077766,4.327958791044182
Enterobacter cloacae,Meropenem,2009,43,3067,460,64,14.998369742419301,2.0867297032931202,13.778536556254146,16.30577327247534,1.6375654632607743,2.6557678327969656
Enterobacter cloacae,Meropenem,2010,40,2520,294,29,11.666666666666666,1.1507936507936507,10.471226313976127,12.97879891451987,0.8024504057669208,1.647840542761619
Enterobacter cloacae,Meropenem,2011,26,1721,238,21,13.829169087739686,1.220220801859384,12.278621208454322,15.540831783403291,0.7994770792092194,1.8582430600108093
Enterobacter cloacae,Meropenem,2012,38,1972,354,21,17.95131845841785,1.0649087221095335,16.320264308509913,19.706991605310503,0.6975688196367755,1.62252921333269
Enterobacter cloacae,Meropenem,2013,44,2691,459,48,17.05685618729097,1.7837235228539576,15.682932455818294,18.524699900561835,1.3480189255607888,2.35689137607849
Enterobacter cloacae,Meropenem,2014,42,2477,347,45,14.008881711748081,1.8167137666532096,12.697707002145503,15.431517311625187,1.3605077471887927,2.422138599962432
Enterobacter cloacae,Meropenem,2015,47,2533,387,88,15.278326095538887,3.4741413343861036,13.929889554781413,16.73191850248246,2.8285177801451162,4.2606701624193875
Enterobacter cloacae,Meropenem,2016,45,2779,465,71,16.732637639438646,2.5548758546239654,15.390969323926972,18.166151074028974,2.0304913451885076,3.2102476972181146
Enterobacter cloacae,Meropenem,2017,42,2425,429,65,17.690721649484537,2.6804123711340204,16.223402615164915,19.260241477404012,2.10859065006739,3.4019155352840342
Enterobacter cloacae,Meropenem,2018,48,2274,240,96,10.554089709762533,4.221635883905013,9.357100064525042,11.884126226579223,3.469465071113062,5.128212263379174
Enterobacter cloacae,Meropenem,2019,43,1500,179,82,11.933333333333334,5.466666666666667,10.389237052800027,13.671906939363124,4.42585691503609,6.734991047774742
Enterobacter cloacae,Meropenem,2020,42,1150,107,50,9.304347826086957,4.3478260869565215,7.758224380178862,11.121445539408112,3.3133590484530293,5.686270669032359
Enterobacter cloacae,Meropenem,2021,27,531,58,30,10.922787193973635,5.649717514124294,8.545060250423811,13.861852460670082,3.9858174868245486,7.950702722633821
Enterobacter cloacae,Meropenem,2022,15,251,18,11,7.171314741035856,4.382470119521912,4.584024066576224,11.049797449383036,2.4644514532540502,7.675758440488599
Enterobacter cloacae,Meropenem,2023,3,41,5,2,12.195121951219512,4.878048780487805,5.323336468577717,25.544211520976884,1.3480945365169041,16.138978870370845
Enterobacter cloacae,Meropenem,2024,3,34,11,11,32.35294117647059,32.35294117647059,19.13164356402551,49.157105406091794,19.13164356402551,49.157105406091794
Escherichia coli,Cefepime,2018,53,5702,2247,1277,39.407225534900036,22.395650648895124,38.146432429436075,40.68228181511159,21.3323599929079,23.496110571525886
