Year,mechanism,n_cells,total_isolates,pct_bp,pct_ecoff,PRAS
2012,KPC-dominant,7,396,1.8770764119601329,24.565062214521088,
2012,OXA-dominant,2,164,0.7751937984496124,20.17718715393134,
2012,Quiet (no major MBL/KPC),24,1386,0.3400981647460521,7.713294670686127,
2013,KPC-dominant,7,707,0.8567206801556722,20.461398648219607,
2013,NDM-dominant,1,34,5.882352941176471,11.764705882352942,
2013,OXA-dominant,3,403,0.8032128514056227,17.63244199368005,
2013,Quiet (no major MBL/KPC),28,1944,0.7721758485704621,6.706664451804554,
2014,KPC-dominant,6,636,1.3460218729189082,21.692444145601744,
2014,NDM-dominant,2,199,8.008723879082979,12.92351389734226,
2014,OXA-dominant,5,714,2.4391296630171793,12.477564449713046,
2014,Quiet (no major MBL/KPC),25,2700,0.4021470088860152,5.543435705112252,
2015,KPC-dominant,7,752,2.4793732117905383,20.034007266808167,
2015,NDM-dominant,2,182,12.054307828955716,19.1219388402487,
2015,OXA-dominant,5,625,2.3211304299462308,9.999496268846945,
2015,Quiet (no major MBL/KPC),20,2123,0.5975420405083003,7.136706972823523,
2016,KPC-dominant,5,643,1.9604651162790698,22.418137890787744,0.22271999999999997
2016,NDM-dominant,2,320,5.079365079365079,11.626984126984127,0.2763
2016,OXA-dominant,4,615,2.2913494427893633,7.619312957446026,0.13095
2016,Quiet (no major MBL/KPC),21,2558,1.0152504695445825,6.4656815398730245,0.101935
2017,KPC-dominant,6,870,2.1670247423418822,21.40252254976929,0.1997
2017,NDM-dominant,3,308,8.534620334620334,19.568082368082372,0.44976666666666665
2017,OXA-dominant,2,289,2.757018300277857,20.32672223819105,0.15425
2017,Quiet (no major MBL/KPC),22,2741,0.8251614801711308,5.319659465798334,0.10197142857142857
2018,KPC-dominant,6,635,1.4493398420220405,25.965355471262416,0.14808
2018,NDM-dominant,11,1049,14.05067603503876,29.82603907908597,0.5992714285714286
2018,OXA-dominant,6,489,0.9097859327217127,8.234982915465798,0.1185
2018,Quiet (no major MBL/KPC),29,2130,0.7292725034176082,10.036643469629984,0.10243684210526316
2019,KPC-dominant,5,700,1.3795846175582547,19.762657265041007,0.141325
2019,NDM-dominant,16,1758,15.123437033009866,30.030645831459946,0.520525
2019,OXA-dominant,4,689,2.0230565734641504,8.771442013729851,0.1169
2019,Quiet (no major MBL/KPC),26,2491,0.8268840107762906,8.461052790576973,0.09494705882352941
2020,KPC-dominant,8,926,1.330966353863233,20.884859482220094,0.17438
2020,NDM-dominant,15,1975,13.082322697059753,26.47654805386046,0.595475
2020,OXA-dominant,3,466,2.2642050204208366,14.387843741900442,0.188
2020,Quiet (no major MBL/KPC),30,2841,1.1769238227695304,7.452546396287299,0.134345
2021,KPC-dominant,8,1223,7.739489928488902,38.893398486214686,0.36315714285714285
2021,NDM-dominant,16,2060,20.77627205336517,31.64459773982806,0.6646333333333333
2021,OXA-dominant,2,338,0.819672131147541,12.985593641331345,0.1041
2021,Quiet (no major MBL/KPC),32,2953,0.6268075126258541,7.200344057459098,0.10313333333333334
2022,KPC-dominant,6,1047,2.7522865055689123,26.86872668192792,0.21755
2022,NDM-dominant,20,2179,20.068390343626834,33.55537499671994,0.7247888888888889
2022,Quiet (no major MBL/KPC),32,2913,1.1316090368289529,5.218379762905961,0.10206818181818181
2023,KPC-dominant,4,303,1.8199233716475096,22.92198094868406,0.1813
2023,NDM-dominant,22,2195,23.45248728751413,36.990556734336344,0.80367
2023,OXA-dominant,1,90,3.333333333333333,46.66666666666666,0.2222
2023,Quiet (no major MBL/KPC),29,2484,2.1669119404247,7.2311531110734295,0.13555217391304347
2024,KPC-dominant,4,368,3.254976232917409,28.38712199393314,
2024,NDM-dominant,22,1951,22.902460688588295,35.487120664656324,
2024,OXA-dominant,4,452,0.8892671854734113,15.085491629900316,
2024,Quiet (no major MBL/KPC),24,2521,2.7533403495389144,7.47128079891268,
