parameter,mean,hdi_2p5,hdi_97p5,std
pct_above_ecoff,0.8539787408082248,-1.2756853691218786,3.033870836851346,1.0937853150981305
pct_above_bp,1.6308206962807268,-0.0220724198249512,3.226214849372376,0.8320701684194132
reservoir,-0.42297136736028546,-1.9314162967455286,1.0782188945914861,0.768546948291228
vel_ecoff_3y,-0.36204971810880743,-0.9014605859452774,0.1860024120257965,0.2746985634786994
acc_ecoff,0.22363883709843554,-0.2581056039068453,0.7771827027712741,0.2607079422804958
mu_alpha (global intercept),-2.076359220961084,-3.1638421024376817,-1.039412639691315,0.5213515485802799
sigma_alpha (pair-level SD),0.8140666815452989,0.2760277158238981,1.4429574772694178,0.3012759815119003
alpha[Enterobacter cloacae × Meropenem],-1.709068848915895,-2.3990304011151227,-1.0285005391126454,0.34879225594182284
alpha[Escherichia coli × Ceftazidime avibactam],-2.0629569296245416,-4.108887959251128,0.006487448082584402,1.0045936403046785
alpha[Escherichia coli × Meropenem],-3.4213844779881786,-5.145422044482003,-2.1343827264226745,0.7890427038242458
alpha[Klebsiella pneumoniae × Ceftazidime avibactam],-2.06221755129716,-4.102881584995438,-0.06747089450804827,0.9903237449002412
alpha[Klebsiella pneumoniae × Imipenem],-2.066885069606564,-4.255835758538182,-0.008315287769989087,1.0324777679045252
alpha[Klebsiella pneumoniae × Meropenem],-1.5049748755891579,-2.124828401288603,-0.9266587445079905,0.29879506589973814
alpha[Pseudomonas aeruginosa × Ceftazidime avibactam],-2.05453891666895,-4.122031213481003,-0.07699956596621965,1.0104766965412597
