,mean,sd,eti95_lb,eti95_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
beta[0],0.85,1.09,-1.3,3,2109,2486,1.00,0.024,0.017
beta[1],1.63,0.83,-0.022,3.2,2162,2603,1.00,0.018,0.013
beta[2],-0.42,0.77,-1.9,1.1,2143,2444,1.00,0.017,0.012
beta[3],-0.362,0.275,-0.9,0.19,4820,3404,1.00,0.004,0.0028
beta[4],0.224,0.261,-0.26,0.78,4189,3033,1.00,0.0041,0.0029
mu_alpha,-2.08,0.52,-3.2,-1,2163,2358,1.00,0.011,0.0098
sigma_alpha,0.81,0.301,0.28,1.4,2401,1709,1.00,0.0059,0.0042
alpha[0],-1.709,0.349,-2.4,-1,5014,3378,1.00,0.0049,0.0035
alpha[1],-2.06,1,-4.1,0.0065,3820,2573,1.00,0.016,0.016
alpha[2],-3.42,0.79,-5.1,-2.1,3425,1970,1.00,0.012,0.011
alpha[3],-2.06,0.99,-4.1,-0.067,3954,2811,1.00,0.016,0.015
alpha[4],-2.07,1.03,-4.3,-0.0083,3894,2728,1.00,0.017,0.015
alpha[5],-1.505,0.299,-2.1,-0.93,4408,3035,1.00,0.0045,0.0033
alpha[6],-2.05,1.01,-4.1,-0.077,3658,3020,1.00,0.017,0.016
