Species,Drug,Country,y_event,y_PRAS_alert,y_NAIVE_alert,PRAS_lead_yrs,NAIVE_lead_yrs,savings_vs_naive
Acinetobacter baumannii,Meropenem,Argentina,2007,,2007,,0,
Acinetobacter baumannii,Meropenem,Australia,2008,,2007,,1,
Acinetobacter baumannii,Meropenem,Austria,2008,,2008,,0,
Acinetobacter baumannii,Meropenem,Belgium,2007,,2007,,0,
Acinetobacter baumannii,Meropenem,Brazil,2007,,2007,,0,
Acinetobacter baumannii,Meropenem,Bulgaria,2009,,2009,,0,
Acinetobacter baumannii,Meropenem,Canada,2010,,2007,,3,
Acinetobacter baumannii,Meropenem,Chile,2007,,2007,,0,
Acinetobacter baumannii,Meropenem,China,2008,,2008,,0,
Acinetobacter baumannii,Meropenem,Colombia,2007,,2007,,0,
Acinetobacter baumannii,Meropenem,Croatia,2007,,2007,,0,
Acinetobacter baumannii,Meropenem,Czech Republic,2008,,2007,,1,
Acinetobacter baumannii,Meropenem,Denmark,2008,,2007,,1,
Acinetobacter baumannii,Meropenem,Dominican Republic,2019,,2019,,0,
Acinetobacter baumannii,Meropenem,Egypt,2012,,2012,,0,
Acinetobacter baumannii,Meropenem,El Salvador,2009,,2009,,0,
Acinetobacter baumannii,Meropenem,Finland,2007,,2007,,0,
Acinetobacter baumannii,Meropenem,France,2007,,2007,,0,
Acinetobacter baumannii,Meropenem,Germany,2009,,2007,,2,
Acinetobacter baumannii,Meropenem,Greece,2007,,2007,,0,
Acinetobacter baumannii,Meropenem,Guatemala,2007,,2007,,0,
Acinetobacter baumannii,Meropenem,Honduras,2009,,2009,,0,
Acinetobacter baumannii,Meropenem,Hong Kong,2010,,2007,,3,
Acinetobacter baumannii,Meropenem,Hungary,2008,,2008,,0,
Acinetobacter baumannii,Meropenem,India,2007,,2007,,0,
Acinetobacter baumannii,Meropenem,Indonesia,2008,,2008,,0,
Acinetobacter baumannii,Meropenem,Ireland,2007,,2007,,0,
Acinetobacter baumannii,Meropenem,Israel,2007,,2007,,0,
Acinetobacter baumannii,Meropenem,Italy,2007,,2007,,0,
Acinetobacter baumannii,Meropenem,Ivory Coast,2023,,2023,,0,
Acinetobacter baumannii,Meropenem,Japan,2018,,2014,,4,
Acinetobacter baumannii,Meropenem,Jordan,2010,,2010,,0,
Acinetobacter baumannii,Meropenem,Kenya,2014,,2014,,0,
Acinetobacter baumannii,Meropenem,"Korea, South",2007,,2007,,0,
Acinetobacter baumannii,Meropenem,Kuwait,2012,,2012,,0,
Acinetobacter baumannii,Meropenem,Latvia,2008,,2008,,0,
Acinetobacter baumannii,Meropenem,Lithuania,2008,,2008,,0,
Acinetobacter baumannii,Meropenem,Malawi,2021,,2021,,0,
Acinetobacter baumannii,Meropenem,Malaysia,2009,,2009,,0,
Acinetobacter baumannii,Meropenem,Mexico,2007,,2007,,0,
Acinetobacter baumannii,Meropenem,Morocco,2011,,2011,,0,
Acinetobacter baumannii,Meropenem,Nigeria,2018,,2018,,0,
Acinetobacter baumannii,Meropenem,Pakistan,2015,,2015,,0,
Acinetobacter baumannii,Meropenem,Panama,2007,,2007,,0,
Acinetobacter baumannii,Meropenem,Philippines,2007,,2007,,0,
Acinetobacter baumannii,Meropenem,Poland,2008,,2008,,0,
Acinetobacter baumannii,Meropenem,Portugal,2008,,2008,,0,
Acinetobacter baumannii,Meropenem,Qatar,2019,,2019,,0,
Acinetobacter baumannii,Meropenem,Romania,2008,,2008,,0,
Acinetobacter baumannii,Meropenem,Russia,2012,,2012,,0,
Acinetobacter baumannii,Meropenem,Saudi Arabia,2009,,2009,,0,
Acinetobacter baumannii,Meropenem,Singapore,2007,,2007,,0,
Acinetobacter baumannii,Meropenem,Slovak Republic,2007,,2007,,0,
Acinetobacter baumannii,Meropenem,Slovenia,2008,,2007,,1,
Acinetobacter baumannii,Meropenem,South Africa,2007,,2007,,0,
Acinetobacter baumannii,Meropenem,Spain,2007,,2007,,0,
Acinetobacter baumannii,Meropenem,Sweden,2011,,2011,,0,
Acinetobacter baumannii,Meropenem,Switzerland,2012,,2008,,4,
Acinetobacter baumannii,Meropenem,Taiwan,2007,,2007,,0,
Acinetobacter baumannii,Meropenem,Thailand,2008,,2008,,0,
Acinetobacter baumannii,Meropenem,Tunisia,2011,,2011,,0,
Acinetobacter baumannii,Meropenem,Turkey,2008,,2008,,0,
Acinetobacter baumannii,Meropenem,Uganda,2022,,2022,,0,
Acinetobacter baumannii,Meropenem,Ukraine,2018,,2018,,0,
Acinetobacter baumannii,Meropenem,United Kingdom,2009,,2009,,0,
Acinetobacter baumannii,Meropenem,Venezuela,2007,,2007,,0,
Acinetobacter baumannii,Meropenem,Vietnam,2016,,2016,,0,
Enterobacter cloacae,Meropenem,Argentina,2017,2017.0,2016,0.0,1,-1.0
Enterobacter cloacae,Meropenem,Brazil,2014,,2014,,0,
Enterobacter cloacae,Meropenem,Chile,2021,,2016,,5,
Enterobacter cloacae,Meropenem,China,2012,,2012,,0,
Enterobacter cloacae,Meropenem,Colombia,2008,,2008,,0,
Enterobacter cloacae,Meropenem,Croatia,2008,,2008,,0,
Enterobacter cloacae,Meropenem,Finland,2008,,2008,,0,
Enterobacter cloacae,Meropenem,Greece,2008,,2008,,0,
Enterobacter cloacae,Meropenem,Guatemala,2007,,2007,,0,
Enterobacter cloacae,Meropenem,India,2007,,2007,,0,
