Species,Drug,Country,y_event,y_PRAS,y_NAIVE,PRAS_lead,NAIVE_lead
Acinetobacter baumannii,Meropenem,Australia,2008,,,,
Acinetobacter baumannii,Meropenem,Canada,2010,,,,
Acinetobacter baumannii,Meropenem,Czech Republic,2008,,,,
Acinetobacter baumannii,Meropenem,Denmark,2008,,,,
Acinetobacter baumannii,Meropenem,Germany,2009,,,,
Acinetobacter baumannii,Meropenem,Hong Kong,2010,,,,
Acinetobacter baumannii,Meropenem,Hungary,2008,,,,
Acinetobacter baumannii,Meropenem,Japan,2018,,,,
Acinetobacter baumannii,Meropenem,Slovenia,2008,,,,
Acinetobacter baumannii,Meropenem,Sweden,2011,,,,
Acinetobacter baumannii,Meropenem,Switzerland,2012,,,,
Enterobacter cloacae,Meropenem,Argentina,2017,,,,
Enterobacter cloacae,Meropenem,Brazil,2014,,,,
Enterobacter cloacae,Meropenem,Chile,2021,,,,
Enterobacter cloacae,Meropenem,China,2012,,,,
Enterobacter cloacae,Meropenem,Croatia,2008,,,,
Enterobacter cloacae,Meropenem,Finland,2008,,,,
Enterobacter cloacae,Meropenem,Greece,2008,,,,
Enterobacter cloacae,Meropenem,Italy,2019,,,,
Enterobacter cloacae,Meropenem,Kuwait,2013,,,,
Enterobacter cloacae,Meropenem,Nigeria,2018,,,,
Enterobacter cloacae,Meropenem,Panama,2020,,,,
Enterobacter cloacae,Meropenem,Philippines,2013,,,,
Enterobacter cloacae,Meropenem,Poland,2018,,,,
Enterobacter cloacae,Meropenem,Romania,2012,,,,
Enterobacter cloacae,Meropenem,Taiwan,2021,,,,
Enterobacter cloacae,Meropenem,Thailand,2010,,,,
Enterobacter cloacae,Meropenem,Tunisia,2013,,,,
Enterobacter cloacae,Meropenem,Turkey,2009,,,,
Enterobacter cloacae,Meropenem,Venezuela,2008,,,,
Escherichia coli,Cefepime,Argentina,2019,,,,
Escherichia coli,Cefepime,Australia,2019,,,,
Escherichia coli,Cefepime,Costa Rica,2019,,,,
Escherichia coli,Cefepime,Greece,2019,,,,
Escherichia coli,Cefepime,Hong Kong,2019,,,,
Escherichia coli,Cefepime,Hungary,2019,,,,
Escherichia coli,Cefepime,Japan,2019,,,,
Escherichia coli,Cefepime,Lithuania,2019,,,,
Escherichia coli,Cefepime,United Kingdom,2023,,,,
Escherichia coli,Ceftazidime avibactam,Qatar,2023,,,,
Escherichia coli,Ceftazidime avibactam,Ukraine,2024,,,,
Escherichia coli,Ceftriaxone,Argentina,2005,,,,
Escherichia coli,Ceftriaxone,Australia,2006,,,,
Escherichia coli,Ceftriaxone,Belgium,2005,,,,
Escherichia coli,Ceftriaxone,Croatia,2008,,,,
Escherichia coli,Ceftriaxone,Denmark,2008,,,,
Escherichia coli,Ceftriaxone,Finland,2007,,,,
Escherichia coli,Ceftriaxone,France,2008,,,,
Escherichia coli,Ceftriaxone,Germany,2006,,,,
Escherichia coli,Ceftriaxone,Hungary,2007,,,,
Escherichia coli,Ceftriaxone,Ireland,2006,,,,
Escherichia coli,Ceftriaxone,Latvia,2005,,,,
Escherichia coli,Ceftriaxone,Lithuania,2016,,,,
Escherichia coli,Ceftriaxone,Namibia,2009,,,,
Escherichia coli,Ceftriaxone,Netherlands,2010,,,,
Escherichia coli,Ceftriaxone,Philippines,2007,,,,
Escherichia coli,Ceftriaxone,Poland,2008,,,,
Escherichia coli,Ceftriaxone,Slovenia,2007,,,,
Escherichia coli,Ceftriaxone,South Africa,2007,,,,
Escherichia coli,Ceftriaxone,Spain,2005,,,,
Escherichia coli,Ceftriaxone,Switzerland,2009,,,,
Escherichia coli,Meropenem,Egypt,2013,,,,
Escherichia coli,Meropenem,Guatemala,2008,,,,
Escherichia coli,Meropenem,India,2016,,,,
Escherichia coli,Meropenem,Jordan,2023,,,,
Escherichia coli,Meropenem,Pakistan,2016,,,,
Escherichia coli,Meropenem,Qatar,2023,,,,
Escherichia coli,Meropenem,Ukraine,2024,,,,
Klebsiella pneumoniae,Cefepime,Canada,2021,,,,
Klebsiella pneumoniae,Cefepime,Hong Kong,2019,,,,
Klebsiella pneumoniae,Cefepime,Japan,2023,,,,
Klebsiella pneumoniae,Cefepime,Slovenia,2021,,,,
Klebsiella pneumoniae,Cefepime,Switzerland,2019,,,,
Klebsiella pneumoniae,Ceftazidime avibactam,Argentina,2020,,,,
Klebsiella pneumoniae,Ceftazidime avibactam,Brazil,2024,2022.0,,2.0,
Klebsiella pneumoniae,Ceftazidime avibactam,Cameroon,2023,,,,
Klebsiella pneumoniae,Ceftazidime avibactam,Colombia,2023,,,,
Klebsiella pneumoniae,Ceftazidime avibactam,Costa Rica,2021,,,,
Klebsiella pneumoniae,Ceftazidime avibactam,Greece,2015,,,,
Klebsiella pneumoniae,Ceftazidime avibactam,Italy,2023,,,,
Klebsiella pneumoniae,Ceftazidime avibactam,Jordan,2021,,,,
Klebsiella pneumoniae,Ceftazidime avibactam,Kuwait,2021,,,,
Klebsiella pneumoniae,Ceftazidime avibactam,Malaysia,2024,,,,
Klebsiella pneumoniae,Ceftazidime avibactam,Mexico,2021,,,,
Klebsiella pneumoniae,Ceftazidime avibactam,Morocco,2019,,,,
Klebsiella pneumoniae,Ceftazidime avibactam,Nigeria,2018,,,,
Klebsiella pneumoniae,Ceftazidime avibactam,Philippines,2024,,,,
Klebsiella pneumoniae,Ceftazidime avibactam,Poland,2023,,,,
Klebsiella pneumoniae,Ceftazidime avibactam,Romania,2015,,,,
Klebsiella pneumoniae,Ceftazidime avibactam,Russia,2018,,,,
Klebsiella pneumoniae,Ceftazidime avibactam,South Africa,2021,,,,
Klebsiella pneumoniae,Ceftazidime avibactam,Thailand,2018,2017.0,,1.0,
Klebsiella pneumoniae,Ceftazidime avibactam,Turkey,2018,,,,
Klebsiella pneumoniae,Ceftazidime avibactam,Ukraine,2019,,,,
Klebsiella pneumoniae,Ceftazidime avibactam,Venezuela,2020,,,,
Klebsiella pneumoniae,Ceftriaxone,Australia,2007,,,,
Klebsiella pneumoniae,Ceftriaxone,Austria,2006,,,,
Klebsiella pneumoniae,Ceftriaxone,Colombia,2006,,,,
Klebsiella pneumoniae,Ceftriaxone,Denmark,2007,,,,
Klebsiella pneumoniae,Ceftriaxone,Finland,2008,,,,
Klebsiella pneumoniae,Ceftriaxone,France,2005,,,,
Klebsiella pneumoniae,Ceftriaxone,Ireland,2007,,,,
Klebsiella pneumoniae,Ceftriaxone,Netherlands,2008,,,,
Klebsiella pneumoniae,Ceftriaxone,Slovenia,2007,,,,
Klebsiella pneumoniae,Ceftriaxone,Sweden,2008,,,,
Klebsiella pneumoniae,Ceftriaxone,Switzerland,2009,,,,
Klebsiella pneumoniae,Colistin,Chile,2024,,,,
Klebsiella pneumoniae,Colistin,Croatia,2021,,,,
Klebsiella pneumoniae,Colistin,Guatemala,2022,,,,
Klebsiella pneumoniae,Colistin,Kuwait,2021,,,,
Klebsiella pneumoniae,Colistin,Morocco,2024,,,,
Klebsiella pneumoniae,Colistin,Poland,2020,,,,
Klebsiella pneumoniae,Colistin,Saudi Arabia,2019,,,,
Klebsiella pneumoniae,Colistin,Thailand,2022,,,,
Klebsiella pneumoniae,Colistin,Turkey,2019,,,,
Klebsiella pneumoniae,Imipenem,Austria,2015,,,,
Klebsiella pneumoniae,Imipenem,Cameroon,2023,,,,
Klebsiella pneumoniae,Imipenem,Chile,2021,,,,
Klebsiella pneumoniae,Imipenem,China,2015,,,,
Klebsiella pneumoniae,Imipenem,Costa Rica,2021,,,,
Klebsiella pneumoniae,Imipenem,Croatia,2019,,,,
Klebsiella pneumoniae,Imipenem,Hungary,2019,,,,
Klebsiella pneumoniae,Imipenem,Kenya,2014,,,,
Klebsiella pneumoniae,Imipenem,"Korea, South",2023,,,,
Klebsiella pneumoniae,Imipenem,Kuwait,2020,,,,
Klebsiella pneumoniae,Imipenem,Malawi,2023,,,,
Klebsiella pneumoniae,Imipenem,Malaysia,2020,,,,
Klebsiella pneumoniae,Imipenem,Mexico,2021,,,,
Klebsiella pneumoniae,Imipenem,Morocco,2019,,,,
Klebsiella pneumoniae,Imipenem,New Zealand,2021,,,,
Klebsiella pneumoniae,Imipenem,Nigeria,2018,,,,
Klebsiella pneumoniae,Imipenem,Panama,2021,,,,
Klebsiella pneumoniae,Imipenem,Philippines,2017,,,,
Klebsiella pneumoniae,Imipenem,Poland,2018,,,,
Klebsiella pneumoniae,Imipenem,Portugal,2013,,,,
Klebsiella pneumoniae,Imipenem,Romania,2013,,,,
Klebsiella pneumoniae,Imipenem,Saudi Arabia,2019,,,,
Klebsiella pneumoniae,Imipenem,South Africa,2019,2018.0,,1.0,
Klebsiella pneumoniae,Imipenem,Spain,2020,,,,
Klebsiella pneumoniae,Imipenem,Taiwan,2024,2020.0,,4.0,
Klebsiella pneumoniae,Imipenem,Thailand,2017,,,,
Klebsiella pneumoniae,Imipenem,Turkey,2014,,,,
Klebsiella pneumoniae,Imipenem,Venezuela,2018,,,,
Klebsiella pneumoniae,Meropenem,Argentina,2010,,,,
Klebsiella pneumoniae,Meropenem,Austria,2015,,,,
Klebsiella pneumoniae,Meropenem,Brazil,2012,,,,
Klebsiella pneumoniae,Meropenem,Bulgaria,2022,,,,
Klebsiella pneumoniae,Meropenem,Cameroon,2023,,,,
Klebsiella pneumoniae,Meropenem,Chile,2021,2014.0,,7.0,
Klebsiella pneumoniae,Meropenem,China,2014,2013.0,,1.0,
Klebsiella pneumoniae,Meropenem,Colombia,2008,,,,
Klebsiella pneumoniae,Meropenem,Costa Rica,2021,,,,
Klebsiella pneumoniae,Meropenem,Croatia,2013,,,,
Klebsiella pneumoniae,Meropenem,Guatemala,2008,,,,
Klebsiella pneumoniae,Meropenem,Honduras,2009,,,,
Klebsiella pneumoniae,Meropenem,Hungary,2022,,,,
Klebsiella pneumoniae,Meropenem,India,2008,,,,
Klebsiella pneumoniae,Meropenem,Italy,2010,,,,
