method,alert_rate,n_alerts,precision,recall,f1,threshold
PRAS (Bayesian),0.05,58,1.0,0.14871794871794872,0.25892857142857145,0.981115
PRAS (Bayesian),0.1,116,0.9655172413793104,0.28717948717948716,0.4426877470355731,0.8434100000000001
PRAS (Bayesian),0.15,173,0.9364161849710982,0.4153846153846154,0.5754884547069272,0.5590049999999999
PRAS (Bayesian),0.2,231,0.8961038961038961,0.5307692307692308,0.6666666666666666,0.4102
PRAS (Bayesian),0.3,347,0.7809798270893372,0.6948717948717948,0.7354138398914518,0.236
PRAS (frequentist),0.05,58,1.0,0.14871794871794872,0.25892857142857145,0.9922236844079875
PRAS (frequentist),0.1,116,0.9655172413793104,0.28717948717948716,0.4426877470355731,0.8918070983474674
PRAS (frequentist),0.15,173,0.9479768786127167,0.4205128205128205,0.5825932504440497,0.6247587692268528
PRAS (frequentist),0.2,231,0.9090909090909091,0.5384615384615384,0.6763285024154589,0.41901794635981227
PRAS (frequentist),0.3,346,0.7832369942196532,0.6948717948717948,0.7364130434782609,0.21456156665826856
%above-BP (current level),0.05,58,1.0,0.14871794871794872,0.25892857142857145,24.44678666608414
%above-BP (current level),0.1,116,0.9741379310344828,0.28974358974358977,0.44664031620553357,15.366004962779158
%above-BP (current level),0.15,173,0.9479768786127167,0.4205128205128205,0.5825932504440497,10.206698063840916
%above-BP (current level),0.2,231,0.9090909090909091,0.5384615384615384,0.6763285024154589,7.599270516717325
%above-BP (current level),0.3,346,0.7745664739884393,0.6871794871794872,0.7282608695652174,4.4317862165963415
%above-ECOFF (level),0.05,58,0.9310344827586207,0.13846153846153847,0.24107142857142858,36.79969551979121
%above-ECOFF (level),0.1,116,0.8793103448275862,0.26153846153846155,0.4031620553359684,28.562628336755647
%above-ECOFF (level),0.15,174,0.8390804597701149,0.37435897435897436,0.5177304964539007,23.529411764705884
%above-ECOFF (level),0.2,231,0.7965367965367965,0.4717948717948718,0.5925925925925926,20.050314465408817
%above-ECOFF (level),0.3,346,0.7225433526011561,0.6410256410256411,0.6793478260869565,15.392545598731157
